_id,SOZIETATEA_EU/SOCIEDAD_EU,SOZIETATEA_CAS/SOCIEDAD_CAS,DENBORALDIA/TEMPORADA,JARDUERA_EU/ACTIVIDAD_EU,JARDUERA_CAS/ACTIVIDAD_CAS,KATEGORIA_EU/CATEGORIA_EU,KATEGORIA_CAS/CATEGORIA_CAS,IZENA EMATEKO EPEA (HASIERA)_EU/PLAZO INSCRIPCION (DESDE)_EU,IZENA EMATEKO EPEA (HASIERA)_CAS/PLAZO INSCRIPCION (DESDE)_CAS,IZENA EMATEKO EPEA (AMAIERA)_EU/PLAZO INSCRIPCION (HASTA)_EU,IZENA EMATEKO EPEA (AMAIERA)_CAS/PLAZO INSCRIPCION (HASTA)_CAS
1,BFA,DFB,2024/2025,AEROBIC,AEROBIC,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
2,BFA,DFB,2024/2025,AEROBIC,AEROBIC,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
3,BFA,DFB,2024/2025,AEROBIC,AEROBIC,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
4,BFA,DFB,2024/2025,AEROBIC,AEROBIC,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
5,BFA,DFB,2024/2025,XAKEA,AJEDREZ,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
6,BFA,DFB,2024/2025,XAKEA,AJEDREZ,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
7,BFA,DFB,2024/2025,XAKEA,AJEDREZ,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
8,BFA,DFB,2024/2025,XAKEA,AJEDREZ,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
9,BFA,DFB,2024/2025,XAKEA,AJEDREZ,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
10,BFA,DFB,2024/2025,MULTIKIROLA,MULTIDEPORTE,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 4,4 DE OCTUBRE
11,BFA,DFB,2024/2025,UDAL MULTIKIROLA,MULTIDEPORTE MUNICIPAL,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 11,11 DE OCTUBRE
12,BFA,DFB,2024/2025,ATLETISMOA/KROSA,ATLETISMO/CROSS,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
13,BFA,DFB,2024/2025,ATLETISMOA/KROSA,ATLETISMO/CROSS,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
14,BFA,DFB,2024/2025,ATLETISMOA/KROSA,ATLETISMO/CROSS,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
15,BFA,DFB,2024/2025,ATLETISMOA/KROSA,ATLETISMO/CROSS,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
16,BFA,DFB,2024/2025,ATLETISMOA/KROSA,ATLETISMO/CROSS,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
